accepted_name,early_interval,class,order,family,lng,lat,state,county,taxon_environment,diet
Eodelphis,Maastrichtian,Mammalia,Didelphimorphia,Stagodontidae,-105.080002,45.66,Montana,Powder River,terrestrial,carnivore durophage
Eopelobates,Maastrichtian,Osteichthyes,Anura,Pelobatidae,-106.099998,47.799999,Montana,McCone County,brackishfreshwaterterrestrial,carnivore
Essonodon_browni,Late Maastrichtian,Mammalia,Multituberculata,Cimolomyidae,-106.577782,47.699165,Montana,,terrestrial,herbivore
Estescincosaurus_cooki,Lancian,Reptilia,Squamata,,-103.099998,45.5,South Dakota,Harding,terrestrial,
Eubaena_cephalica,Maastrichtian,Reptilia,Testudines,Baenidae,-104.010277,46.331112,North Dakota,Slope,terrestrial,
Exostinus_lancensis,Lancian,Reptilia,Squamata,Xenosauridae,-106.400002,47.516701,Montana,Garfield,terrestrial,carnivore
Gamerabaena_sonsalla,Late Maastrichtian,Reptilia,Testudines,Baenidae,-103.946365,46.286884,North Dakota,Slope,terrestrial,
Gilmoremys_lancensis,Late Maastrichtian,Reptilia,Testudines,Trionychidae,-104.428055,46.37611,Montana,Fallon,brackishfreshwater,piscivore carnivore
Glasbius_twitchelli,Lancian,Mammalia,Didelphimorphia,Glasbiidae,-106.400002,47.516701,Montana,Garfield,terrestrial,herbivore frugivore
Gorgosaurus,Maastrichtian,Saurischia,Avetheropoda,Tyrannosauridae,-103.451668,45.062778,South Dakota,Butte,terrestrial,carnivore
Gypsonictops_hypoconus,Late Maastrichtian,Mammalia,,Gypsonictopidae,-106.67778,46.266388,Montana,,terrestrial,omnivore frugivore
Gypsonictops_illuminatus,Lancian,Mammalia,,Gypsonictopidae,-106.199997,47.633301,Montana,McCone,terrestrial,omnivore frugivore
Habrosaurus_dilatus,Lancian,Osteichthyes,Caudata,Sirenidae,-107.126389,47.266109,Montana,Garfield,freshwater,carnivore